Do you get hurt?	ChitChat.BodyQuestion
Do you have fingers?	ChitChat.BodyQuestion
Do you ever breathe	ChitChat.BodyQuestion
Do you masticate?	ChitChat.BodyQuestion
Can you throw up?	ChitChat.BodyQuestion
Do you get tired?	ChitChat.BodyQuestion
Can you crawl?	ChitChat.BodyQuestion
Can you cry?	ChitChat.BodyQuestion
Do you dream	ChitChat.BodyQuestion
Do you ever pee?	ChitChat.BodyQuestion
Do you ever get hurt?	ChitChat.BodyQuestion
Can you breathe	ChitChat.BodyQuestion
can you masticate?	ChitChat.BodyQuestion
Can you burp?	ChitChat.BodyQuestion
Can you chew?	ChitChat.BodyQuestion
Can you dream	ChitChat.BodyQuestion
Can you eat?	ChitChat.BodyQuestion
Can you fart?	ChitChat.BodyQuestion
Do you breathe	ChitChat.BodyQuestion
Can you get tired?	ChitChat.BodyQuestion
Can you yawn?	ChitChat.BodyQuestion
Can you pee?	ChitChat.BodyQuestion
Can you poop?	ChitChat.BodyQuestion
Can you sneeze?	ChitChat.BodyQuestion
Can you sweat?	ChitChat.BodyQuestion
Can you vomit?	ChitChat.BodyQuestion
Can you get hurt?	ChitChat.BodyQuestion
Do you sweat?	ChitChat.BodyQuestion
Do you have skin?	ChitChat.BodyQuestion
Do you have teeth?	ChitChat.BodyQuestion
Do you have toes?	ChitChat.BodyQuestion
Do you pee?	ChitChat.BodyQuestion
Do you poop?	ChitChat.BodyQuestion
Do you ever get tired?	ChitChat.BodyQuestion
Do you sneeze?	ChitChat.BodyQuestion
Do you have hair?	ChitChat.BodyQuestion
Do you throw up?	ChitChat.BodyQuestion
Do you vomit?	ChitChat.BodyQuestion
Do you yawn?	ChitChat.BodyQuestion
Don't you ever masticate?	ChitChat.BodyQuestion
Don't you ever sleep?	ChitChat.BodyQuestion
Do you have a stomach?	ChitChat.BodyQuestion
Do you have intestines?	ChitChat.BodyQuestion
Do you sleep?	ChitChat.BodyQuestion
Do you ever poop?	ChitChat.BodyQuestion
Do you ever sneeze?	ChitChat.BodyQuestion
Do you ever sweat?	ChitChat.BodyQuestion
Do you ever throw up?	ChitChat.BodyQuestion
Do you ever vomit?	ChitChat.BodyQuestion
Do you ever walk	ChitChat.BodyQuestion
Do you ever yawn?	ChitChat.BodyQuestion
Do you have lungs?	ChitChat.BodyQuestion
Do you have legs?	ChitChat.BodyQuestion
Do you get zits?	ChitChat.BodyQuestion
Do you have a liver?	ChitChat.BodyQuestion
Do you have arms?	ChitChat.BodyQuestion
Do you have eyes?	ChitChat.BodyQuestion
Do you have fingernails?	ChitChat.BodyQuestion
Do you have bowels?	ChitChat.BodyQuestion
Do you fart?	ChitChat.BodyQuestion
Do you ever chew?	ChitChat.BodyQuestion
Do you burp?	ChitChat.BodyQuestion
Do you chew?	ChitChat.BodyQuestion
Do you crawl?	ChitChat.BodyQuestion
Do you cry?	ChitChat.BodyQuestion
